1.000e+00	mua, absorption coefficient [1/cm]
100.0000	mus, scattering coefficient [1/cm]
0.9000	g, anisotropy [-]
1.4000	n1, refractive index of tissue
1.4000	n2, refractive index of outside medium
0	mcflag
0.0000	radius, radius of flat beam or 1/e radius of Gaussian beam [cm]
0.1000	waist, 1/e waist of focus [cm]
0.0000	xs, x position of isotropic source [cm]
0.0000	ys, y
0.0000	zs, z
101	NR
101	NZ
0.00200	dr
0.00200	dz
1.3e+05	Nphotons
0.000000e+00	Specular reflectance
6.009238e-01	Absorbed fraction
3.990759e-01	Escaping fraction
0.0	0.00133	0.00311	0.00507	0.00705	0.00904	0.01103	0.01303	0.01502	0.01702	0.01902	0.02102	0.02301	0.02501	0.02701	0.02901	0.03101	0.03301	0.03501	0.03701	0.03901	0.04101	0.04301	0.04501	0.04701	0.04901	0.05101	0.05301	0.05501	0.05701	0.05901	0.06101	0.06301	0.06501	0.06700	0.06900	0.07100	0.07300	0.07500	0.07700	0.07900	0.08100	0.08300	0.08500	0.08700	0.08900	0.09100	0.09300	0.09500	0.09700	0.09900	0.10100	0.10300	0.10500	0.10700	0.10900	0.11100	0.11300	0.11500	0.11700	0.11900	0.12100	0.12300	0.12500	0.12700	0.12900	0.13100	0.13300	0.13500	0.13700	0.13900	0.14100	0.14300	0.14500	0.14700	0.14900	0.15100	0.15300	0.15500	0.15700	0.15900	0.16100	0.16300	0.16500	0.16700	0.16900	0.17100	0.17300	0.17500	0.17700	0.17900	0.18100	0.18300	0.18500	0.18700	0.18900	0.19100	0.19300	0.19500	0.19700	0.19900	0.20100
0.0	2.661277916269e+02	9.334330695551e+01	5.267616923896e+01	4.208321031471e+01	3.101658912629e+01	2.505468028520e+01	2.064288738822e+01	1.839679741511e+01	1.640339716454e+01	1.473442660005e+01	1.322315530768e+01	1.403159779825e+01	1.108021788250e+01	1.142133339228e+01	1.014484485240e+01	9.095695226923e+00	8.802195858695e+00	8.479275723269e+00	7.499575145002e+00	7.577583603295e+00	6.919675112729e+00	6.730367503440e+00	6.397192670811e+00	5.937463941954e+00	5.680598738292e+00	5.807880404067e+00	5.393891170847e+00	5.257147195491e+00	5.339715918452e+00	4.675376102643e+00	4.364993289026e+00	4.404259382829e+00	4.212098561790e+00	4.320819454909e+00	3.951206768019e+00	3.983007596588e+00	3.823990534227e+00	3.304050801720e+00	3.610559932844e+00	3.235498007576e+00	3.051792517396e+00	3.091823682943e+00	3.019007673668e+00	2.786937307028e+00	2.961104015278e+00	2.756715886583e+00	2.721199148062e+00	2.418088481126e+00	2.600555927227e+00	2.538633723474e+00	2.297529287016e+00	2.174346853324e+00	2.272888318848e+00	2.161783359695e+00	2.142668916504e+00	2.150316739752e+00	1.985367729578e+00	1.933870507959e+00	2.027373796921e+00	1.870569329112e+00	1.834541622997e+00	1.740843148087e+00	1.747556611630e+00	1.642075697031e+00	1.628864559102e+00	1.589672731540e+00	1.564010486917e+00	1.434805785200e+00	1.368769532029e+00	1.392188443396e+00	1.269958542930e+00	1.436586820775e+00	1.271932840200e+00	1.158449462573e+00	1.202829618211e+00	1.270245416865e+00	1.172489996813e+00	1.074344863265e+00	1.126517525174e+00	1.048740445143e+00	9.841448739850e-01	1.067727496572e+00	1.028410751998e+00	9.548690988818e-01	8.586091284883e-01	9.592127088242e-01	8.494976803452e-01	8.327905602248e-01	8.459253597374e-01	8.575433792946e-01	7.844789094579e-01	7.705795196945e-01	8.575000543648e-01	7.602604784290e-01	7.907495090381e-01	6.998311735799e-01	7.489293878775e-01	6.474223172442e-01	7.115422376392e-01	6.794661023254e-01	4.392133122034e+01
0.00100	 8.035725e+04	 2.491847e+02	 1.543481e+02	 9.479714e+01	 6.913957e+01	 5.314825e+01	 4.489922e+01	 3.545823e+01	 3.525094e+01	 3.060746e+01	 3.220273e+01	 2.677552e+01	 2.676847e+01	 2.353066e+01	 2.303144e+01	 2.226873e+01	 1.615452e+01	 1.772489e+01	 1.521348e+01	 1.643126e+01	 1.439604e+01	 1.544110e+01	 1.251640e+01	 1.326968e+01	 1.240788e+01	 1.219982e+01	 1.103759e+01	 1.164602e+01	 1.015273e+01	 9.960144e+00	 1.013715e+01	 8.013316e+00	 9.649007e+00	 8.536863e+00	 8.208505e+00	 7.787607e+00	 8.046275e+00	 6.866994e+00	 6.924162e+00	 7.299189e+00	 6.677422e+00	 6.835048e+00	 5.377067e+00	 6.309921e+00	 6.011460e+00	 5.604203e+00	 5.334524e+00	 5.030894e+00	 4.877583e+00	 5.023208e+00	 4.997279e+00	 4.098435e+00	 4.740357e+00	 4.428770e+00	 4.596910e+00	 4.654771e+00	 3.741513e+00	 4.029002e+00	 3.436824e+00	 4.051281e+00	 3.362629e+00	 3.738342e+00	 3.330483e+00	 3.339529e+00	 3.223849e+00	 3.010185e+00	 2.881070e+00	 2.636669e+00	 2.813399e+00	 2.725358e+00	 2.843445e+00	 2.379645e+00	 2.803318e+00	 2.059567e+00	 2.420280e+00	 2.278688e+00	 2.064386e+00	 2.584529e+00	 2.283799e+00	 2.009479e+00	 2.034996e+00	 1.993362e+00	 2.179633e+00	 1.619950e+00	 1.907914e+00	 1.706284e+00	 1.583991e+00	 1.687206e+00	 1.764474e+00	 1.620182e+00	 1.358556e+00	 1.458335e+00	 1.665308e+00	 1.459841e+00	 1.582666e+00	 1.290093e+00	 1.523618e+00	 1.552112e+00	 1.506256e+00	 1.462987e+00	 8.374838e+01
0.00300	 7.909041e+04	 5.961612e+02	 2.181701e+02	 1.406755e+02	 8.737284e+01	 6.747357e+01	 5.628556e+01	 5.023879e+01	 4.674567e+01	 3.772291e+01	 3.000943e+01	 2.808755e+01	 2.904618e+01	 2.617994e+01	 2.135944e+01	 2.309556e+01	 1.826911e+01	 1.851646e+01	 1.615822e+01	 1.585522e+01	 1.517703e+01	 1.463222e+01	 1.405898e+01	 1.477900e+01	 1.434716e+01	 1.177748e+01	 1.153940e+01	 1.154766e+01	 1.120887e+01	 9.868297e+00	 1.082672e+01	 1.023333e+01	 1.057657e+01	 9.378528e+00	 9.061198e+00	 8.246902e+00	 8.621425e+00	 7.997735e+00	 6.984140e+00	 6.789920e+00	 7.328605e+00	 6.559736e+00	 6.889622e+00	 5.966022e+00	 6.158128e+00	 5.957250e+00	 6.276901e+00	 5.710889e+00	 5.698608e+00	 5.891032e+00	 5.523751e+00	 4.947946e+00	 4.367297e+00	 4.760978e+00	 4.231704e+00	 5.045290e+00	 4.382648e+00	 4.245405e+00	 4.697264e+00	 4.680775e+00	 3.764387e+00	 3.335118e+00	 3.643630e+00	 3.493952e+00	 3.549470e+00	 3.197942e+00	 3.109891e+00	 3.696469e+00	 2.888592e+00	 2.949954e+00	 3.226103e+00	 2.962598e+00	 2.748895e+00	 2.803902e+00	 2.863850e+00	 3.054754e+00	 2.536765e+00	 2.143964e+00	 2.619404e+00	 2.405075e+00	 2.278477e+00	 2.377962e+00	 2.250986e+00	 1.803935e+00	 1.948749e+00	 1.875818e+00	 2.072856e+00	 2.090906e+00	 1.735436e+00	 1.521854e+00	 1.990421e+00	 1.562716e+00	 1.912279e+00	 1.597807e+00	 1.573200e+00	 1.307302e+00	 1.392826e+00	 1.519800e+00	 1.688783e+00	 1.344226e+00	 9.033921e+01
0.00500	 7.753859e+04	 1.118307e+03	 3.709569e+02	 1.964237e+02	 1.219083e+02	 8.777969e+01	 6.765960e+01	 5.545258e+01	 5.167742e+01	 4.119969e+01	 3.832613e+01	 3.677348e+01	 3.154512e+01	 2.683915e+01	 2.403461e+01	 2.022977e+01	 2.552880e+01	 2.096924e+01	 2.041286e+01	 1.974607e+01	 1.804450e+01	 1.853112e+01	 1.718545e+01	 1.840981e+01	 1.372931e+01	 1.229469e+01	 1.205869e+01	 1.240568e+01	 1.212037e+01	 1.082310e+01	 1.024249e+01	 9.728887e+00	 1.109214e+01	 1.017385e+01	 8.877803e+00	 8.467260e+00	 9.181443e+00	 9.169961e+00	 8.305833e+00	 7.690042e+00	 8.149059e+00	 7.418627e+00	 6.986070e+00	 6.672587e+00	 6.466818e+00	 7.553944e+00	 6.522370e+00	 5.818164e+00	 6.141894e+00	 4.622715e+00	 5.327414e+00	 5.620112e+00	 4.871416e+00	 4.992630e+00	 4.859160e+00	 4.812839e+00	 4.838530e+00	 4.806330e+00	 3.683233e+00	 4.328547e+00	 3.985133e+00	 3.821818e+00	 3.967228e+00	 3.809341e+00	 3.838571e+00	 3.634824e+00	 3.708418e+00	 3.437957e+00	 3.462903e+00	 3.512444e+00	 2.957191e+00	 3.076756e+00	 2.791543e+00	 2.715956e+00	 2.684797e+00	 2.958227e+00	 2.281849e+00	 2.659119e+00	 2.466140e+00	 2.260049e+00	 2.296227e+00	 2.721127e+00	 2.749290e+00	 2.525380e+00	 2.141301e+00	 1.951660e+00	 1.896161e+00	 1.886932e+00	 1.869212e+00	 1.731407e+00	 1.944903e+00	 2.001331e+00	 1.855350e+00	 1.783791e+00	 1.497862e+00	 1.815941e+00	 1.603771e+00	 1.470464e+00	 1.440904e+00	 1.506685e+00	 9.555039e+01
0.00700	 7.157365e+04	 1.929557e+03	 5.298971e+02	 2.506943e+02	 1.525742e+02	 1.155694e+02	 9.361595e+01	 6.881053e+01	 6.070812e+01	 4.025466e+01	 4.388441e+01	 3.829687e+01	 3.295200e+01	 3.035404e+01	 2.845491e+01	 2.560570e+01	 2.477962e+01	 2.154648e+01	 2.206317e+01	 2.044948e+01	 1.868063e+01	 1.804335e+01	 1.594570e+01	 1.785685e+01	 1.510218e+01	 1.430352e+01	 1.431291e+01	 1.389041e+01	 1.398159e+01	 1.252275e+01	 1.171632e+01	 9.613619e+00	 1.056965e+01	 9.773636e+00	 9.963334e+00	 9.728513e+00	 9.935555e+00	 8.971778e+00	 8.406698e+00	 8.603443e+00	 7.880319e+00	 7.776588e+00	 7.408148e+00	 7.071646e+00	 6.880213e+00	 7.190113e+00	 7.235975e+00	 6.334388e+00	 5.638281e+00	 6.530157e+00	 5.739632e+00	 5.797048e+00	 6.609471e+00	 5.917002e+00	 4.744712e+00	 5.841081e+00	 5.209015e+00	 4.560760e+00	 5.055372e+00	 4.418160e+00	 4.730940e+00	 4.845420e+00	 4.910395e+00	 4.100905e+00	 3.795212e+00	 3.849910e+00	 3.258419e+00	 2.998365e+00	 2.872945e+00	 3.192527e+00	 3.307283e+00	 3.338103e+00	 3.404980e+00	 3.113385e+00	 3.399973e+00	 2.718580e+00	 2.882120e+00	 2.620422e+00	 2.584018e+00	 2.434917e+00	 2.349122e+00	 2.478078e+00	 2.403002e+00	 2.345958e+00	 2.498164e+00	 2.079444e+00	 2.187780e+00	 1.943627e+00	 2.132435e+00	 1.733680e+00	 1.845837e+00	 1.686575e+00	 1.769465e+00	 1.518062e+00	 1.688688e+00	 1.793000e+00	 1.638834e+00	 1.661694e+00	 1.525739e+00	 1.585546e+00	 1.005389e+02
0.00900	 6.656045e+04	 2.731483e+03	 7.332974e+02	 3.563901e+02	 1.960342e+02	 1.287763e+02	 9.562520e+01	 8.104950e+01	 6.003275e+01	 5.307927e+01	 4.952897e+01	 4.627052e+01	 4.117203e+01	 3.481999e+01	 2.900172e+01	 2.689622e+01	 2.542673e+01	 2.627197e+01	 2.409448e+01	 2.189419e+01	 2.176397e+01	 1.868493e+01	 1.859215e+01	 1.718527e+01	 1.663870e+01	 1.551813e+01	 1.420011e+01	 1.293438e+01	 1.390809e+01	 1.212166e+01	 1.212888e+01	 1.188659e+01	 1.242791e+01	 9.576219e+00	 1.225234e+01	 1.038255e+01	 9.880694e+00	 8.895966e+00	 8.956521e+00	 9.132465e+00	 9.120920e+00	 7.971759e+00	 8.044448e+00	 7.698833e+00	 8.348539e+00	 7.020467e+00	 7.470252e+00	 6.738978e+00	 6.458595e+00	 6.596281e+00	 5.839049e+00	 6.227882e+00	 5.716053e+00	 5.117764e+00	 5.264539e+00	 6.425556e+00	 5.041161e+00	 4.596178e+00	 4.556917e+00	 5.029877e+00	 4.584823e+00	 5.007166e+00	 4.507026e+00	 4.251037e+00	 4.188145e+00	 3.749519e+00	 3.691761e+00	 3.488550e+00	 3.583598e+00	 3.701776e+00	 3.785818e+00	 3.506269e+00	 3.104969e+00	 3.171762e+00	 2.951635e+00	 2.894941e+00	 3.048997e+00	 2.711143e+00	 2.298587e+00	 3.113056e+00	 2.877219e+00	 2.606015e+00	 2.410758e+00	 2.611392e+00	 2.333365e+00	 2.050500e+00	 2.083072e+00	 2.227333e+00	 1.896093e+00	 1.983088e+00	 2.055676e+00	 1.885758e+00	 1.918260e+00	 1.884637e+00	 1.710458e+00	 1.620711e+00	 1.782946e+00	 1.780949e+00	 1.810442e+00	 1.378138e+00	 1.066565e+02
0.01100	 6.173587e+04	 3.350728e+03	 9.901096e+02	 4.351805e+02	 2.569483e+02	 1.582635e+02	 1.262263e+02	 9.509186e+01	 7.345453e+01	 6.116470e+01	 5.594749e+01	 4.529789e+01	 4.213989e+01	 3.847952e+01	 3.366379e+01	 3.068868e+01	 2.742694e+01	 2.816687e+01	 2.685897e+01	 2.246647e+01	 2.114703e+01	 2.270836e+01	 1.937061e+01	 1.927887e+01	 1.652167e+01	 1.385853e+01	 1.619969e+01	 1.567222e+01	 1.395636e+01	 1.285738e+01	 1.208221e+01	 1.308646e+01	 1.301340e+01	 1.034944e+01	 1.095093e+01	 1.058047e+01	 1.007726e+01	 1.041531e+01	 9.782075e+00	 9.769555e+00	 8.519699e+00	 8.566436e+00	 8.880437e+00	 8.365730e+00	 7.869881e+00	 7.799204e+00	 7.442231e+00	 6.868900e+00	 7.319817e+00	 5.688226e+00	 6.622767e+00	 6.604314e+00	 6.040190e+00	 5.908351e+00	 5.640340e+00	 5.559552e+00	 5.732139e+00	 5.412781e+00	 4.864412e+00	 4.799515e+00	 4.975696e+00	 4.644087e+00	 4.394753e+00	 4.058700e+00	 4.031089e+00	 4.387603e+00	 4.216481e+00	 3.819692e+00	 3.547460e+00	 3.775272e+00	 3.629455e+00	 3.372908e+00	 2.986931e+00	 2.960769e+00	 2.931067e+00	 2.797218e+00	 2.439717e+00	 2.724602e+00	 2.826820e+00	 3.028354e+00	 2.655825e+00	 2.449871e+00	 2.260828e+00	 2.224631e+00	 2.123163e+00	 2.467235e+00	 2.410367e+00	 2.202729e+00	 2.177651e+00	 2.090629e+00	 1.971310e+00	 2.027621e+00	 1.916738e+00	 1.885959e+00	 1.977193e+00	 1.933939e+00	 1.672623e+00	 1.893089e+00	 1.784793e+00	 1.733427e+00	 1.082891e+02
0.01300	 5.603995e+04	 4.120098e+03	 1.207641e+03	 5.301797e+02	 3.195432e+02	 2.116057e+02	 1.450885e+02	 9.985167e+01	 8.662227e+01	 7.018664e+01	 6.353734e+01	 5.279033e+01	 5.111249e+01	 4.071306e+01	 3.729252e+01	 3.416554e+01	 3.042902e+01	 2.922150e+01	 2.724904e+01	 2.450957e+01	 2.221962e+01	 2.210317e+01	 1.981521e+01	 2.032846e+01	 1.609663e+01	 1.542456e+01	 1.738043e+01	 1.612955e+01	 1.567643e+01	 1.352865e+01	 1.211844e+01	 1.389532e+01	 1.208428e+01	 1.239823e+01	 1.100457e+01	 1.051870e+01	 1.098316e+01	 1.062570e+01	 9.802126e+00	 9.331860e+00	 8.397308e+00	 9.558838e+00	 8.256581e+00	 8.000527e+00	 8.005436e+00	 7.859472e+00	 6.766303e+00	 7.304987e+00	 7.075155e+00	 6.794201e+00	 6.314985e+00	 6.258497e+00	 5.673539e+00	 6.907780e+00	 6.451656e+00	 6.029496e+00	 5.397970e+00	 5.346084e+00	 5.113638e+00	 5.529922e+00	 5.035049e+00	 4.472568e+00	 4.698243e+00	 4.406702e+00	 4.806045e+00	 4.221909e+00	 3.835014e+00	 3.965936e+00	 4.032440e+00	 3.701047e+00	 3.421716e+00	 3.728426e+00	 3.236351e+00	 3.360939e+00	 3.087558e+00	 2.805994e+00	 2.922338e+00	 3.006962e+00	 3.091051e+00	 2.958687e+00	 2.513178e+00	 2.662105e+00	 2.670555e+00	 2.240926e+00	 2.548474e+00	 2.455206e+00	 2.222270e+00	 2.416171e+00	 2.188481e+00	 2.244381e+00	 2.257013e+00	 1.743234e+00	 2.047334e+00	 2.105007e+00	 2.023570e+00	 1.987428e+00	 2.030236e+00	 1.996358e+00	 1.886418e+00	 1.701178e+00	 1.132877e+02
0.01500	 4.917861e+04	 4.872692e+03	 1.498636e+03	 6.593734e+02	 3.721547e+02	 2.330028e+02	 1.532636e+02	 1.214640e+02	 1.005258e+02	 8.311441e+01	 6.588545e+01	 5.297770e+01	 4.585077e+01	 4.263893e+01	 4.024185e+01	 3.329227e+01	 3.037920e+01	 2.946121e+01	 2.792202e+01	 2.528475e+01	 2.500511e+01	 2.211732e+01	 2.076348e+01	 1.932212e+01	 1.642158e+01	 1.563935e+01	 1.599720e+01	 1.652620e+01	 1.551906e+01	 1.528486e+01	 1.427628e+01	 1.373923e+01	 1.236496e+01	 1.219552e+01	 1.137445e+01	 1.054817e+01	 1.083092e+01	 1.018231e+01	 1.013219e+01	 9.936660e+00	 9.908792e+00	 9.568784e+00	 9.030814e+00	 9.756019e+00	 9.001546e+00	 8.450093e+00	 7.544201e+00	 7.804990e+00	 7.732877e+00	 6.848174e+00	 6.320830e+00	 6.624772e+00	 6.292053e+00	 6.192500e+00	 6.307009e+00	 6.463642e+00	 6.411299e+00	 5.213216e+00	 5.347487e+00	 4.865121e+00	 4.949223e+00	 5.418391e+00	 4.857828e+00	 4.741028e+00	 4.548101e+00	 4.775166e+00	 4.178118e+00	 3.859594e+00	 3.667399e+00	 4.224139e+00	 3.881838e+00	 3.979685e+00	 3.622565e+00	 3.534900e+00	 3.248095e+00	 3.387133e+00	 3.617600e+00	 3.363168e+00	 3.109777e+00	 3.250609e+00	 3.250913e+00	 2.946254e+00	 2.667503e+00	 2.457192e+00	 2.785190e+00	 2.655714e+00	 2.105859e+00	 2.645604e+00	 2.594647e+00	 2.258677e+00	 1.985051e+00	 2.076023e+00	 2.305687e+00	 2.365079e+00	 2.001954e+00	 1.973750e+00	 1.990108e+00	 2.355577e+00	 1.671431e+00	 1.632699e+00	 1.169823e+02
