10000.000000	number of photons
0.03000	bin size [cm]
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.01500 	 4.661e+02 	 3.045e+01 	 1.345e+01 
0.04500 	 8.780e+01 	 1.622e+01 	 1.131e+01 
0.07500 	 4.309e+01 	 1.183e+01 	 1.001e+01 
0.10500 	 2.689e+01 	 9.184e+00 	 8.838e+00 
0.13500 	 1.861e+01 	 7.418e+00 	 7.745e+00 
0.16500 	 1.344e+01 	 6.014e+00 	 6.858e+00 
0.19500 	 1.003e+01 	 4.953e+00 	 6.039e+00 
0.22500 	 7.829e+00 	 4.089e+00 	 5.349e+00 
0.25500 	 6.056e+00 	 3.441e+00 	 4.764e+00 
0.28500 	 4.785e+00 	 2.883e+00 	 4.184e+00 
0.31500 	 3.790e+00 	 2.452e+00 	 3.703e+00 
0.34500 	 3.067e+00 	 2.086e+00 	 3.292e+00 
0.37500 	 2.495e+00 	 1.794e+00 	 2.883e+00 
0.40500 	 2.049e+00 	 1.537e+00 	 2.584e+00 
0.43500 	 1.694e+00 	 1.325e+00 	 2.284e+00 
0.46500 	 1.412e+00 	 1.142e+00 	 2.027e+00 
0.49500 	 1.168e+00 	 9.831e-01 	 1.785e+00 
0.52500 	 9.746e-01 	 8.437e-01 	 1.573e+00 
0.55500 	 8.186e-01 	 7.421e-01 	 1.413e+00 
0.58500 	 6.894e-01 	 6.382e-01 	 1.248e+00 
0.61500 	 5.766e-01 	 5.479e-01 	 1.103e+00 
0.64500 	 4.930e-01 	 4.731e-01 	 9.828e-01 
0.67500 	 4.152e-01 	 4.098e-01 	 8.714e-01 
0.70500 	 3.485e-01 	 3.573e-01 	 7.729e-01 
0.73500 	 2.998e-01 	 3.082e-01 	 6.784e-01 
0.76500 	 2.537e-01 	 2.675e-01 	 6.006e-01 
0.79500 	 2.159e-01 	 2.303e-01 	 5.272e-01 
0.82500 	 1.839e-01 	 2.002e-01 	 4.760e-01 
0.85500 	 1.567e-01 	 1.763e-01 	 4.158e-01 
0.88500 	 1.346e-01 	 1.539e-01 	 3.731e-01 
0.91500 	 1.176e-01 	 1.350e-01 	 3.291e-01 
0.94500 	 9.990e-02 	 1.165e-01 	 2.948e-01 
0.97500 	 8.623e-02 	 1.009e-01 	 2.659e-01 
1.00500 	 7.388e-02 	 8.758e-02 	 2.385e-01 
1.03500 	 6.386e-02 	 7.603e-02 	 2.109e-01 
1.06500 	 5.416e-02 	 6.761e-02 	 1.882e-01 
1.09500 	 4.704e-02 	 5.939e-02 	 1.658e-01 
1.12500 	 4.034e-02 	 5.238e-02 	 1.420e-01 
1.15500 	 3.517e-02 	 4.625e-02 	 1.240e-01 
1.18500 	 3.045e-02 	 4.169e-02 	 1.124e-01 
1.21500 	 2.601e-02 	 3.591e-02 	 1.014e-01 
1.24500 	 2.241e-02 	 3.135e-02 	 9.078e-02 
1.27500 	 1.963e-02 	 2.788e-02 	 8.019e-02 
1.30500 	 1.707e-02 	 2.455e-02 	 7.273e-02 
1.33500 	 1.501e-02 	 2.111e-02 	 5.993e-02 
1.36500 	 1.282e-02 	 1.838e-02 	 5.579e-02 
1.39500 	 1.133e-02 	 1.644e-02 	 4.829e-02 
1.42500 	 9.870e-03 	 1.393e-02 	 4.201e-02 
1.45500 	 8.329e-03 	 1.224e-02 	 3.622e-02 
1.48500 	 7.208e-03 	 1.090e-02 	 3.187e-02 
1.51500 	 6.262e-03 	 9.359e-03 	 2.890e-02 
1.54500 	 5.491e-03 	 8.177e-03 	 2.482e-02 
1.57500 	 4.732e-03 	 7.267e-03 	 2.329e-02 
1.60500 	 4.114e-03 	 6.270e-03 	 1.979e-02 
1.63500 	 3.500e-03 	 5.750e-03 	 1.708e-02 
1.66500 	 3.076e-03 	 5.193e-03 	 1.508e-02 
1.69500 	 2.708e-03 	 4.445e-03 	 1.364e-02 
1.72500 	 2.403e-03 	 3.967e-03 	 1.249e-02 
1.75500 	 2.078e-03 	 3.391e-03 	 1.128e-02 
1.78500 	 1.783e-03 	 3.061e-03 	 1.038e-02 
1.81500 	 1.594e-03 	 2.812e-03 	 9.150e-03 
1.84500 	 1.385e-03 	 2.445e-03 	 8.453e-03 
1.87500 	 1.213e-03 	 2.243e-03 	 7.715e-03 
1.90500 	 1.083e-03 	 1.791e-03 	 6.402e-03 
1.93500 	 9.771e-04 	 1.730e-03 	 5.616e-03 
1.96500 	 8.497e-04 	 1.539e-03 	 4.884e-03 
1.99500 	 7.247e-04 	 1.340e-03 	 4.182e-03 
2.02500 	 6.486e-04 	 1.126e-03 	 4.015e-03 
2.05500 	 5.675e-04 	 1.003e-03 	 3.522e-03 
2.08500 	 4.748e-04 	 8.584e-04 	 3.240e-03 
2.11500 	 4.125e-04 	 7.251e-04 	 2.848e-03 
2.14500 	 3.549e-04 	 5.984e-04 	 2.548e-03 
2.17500 	 3.201e-04 	 5.416e-04 	 2.193e-03 
2.20500 	 2.854e-04 	 5.093e-04 	 2.452e-03 
2.23500 	 2.428e-04 	 4.380e-04 	 2.239e-03 
2.26500 	 2.107e-04 	 3.973e-04 	 1.761e-03 
2.29500 	 1.912e-04 	 3.510e-04 	 1.283e-03 
2.32500 	 1.591e-04 	 3.358e-04 	 9.403e-04 
2.35500 	 1.369e-04 	 2.608e-04 	 7.498e-04 
2.38500 	 1.093e-04 	 2.184e-04 	 6.996e-04 
2.41500 	 9.305e-05 	 2.004e-04 	 3.977e-04 
2.44500 	 8.706e-05 	 1.790e-04 	 4.659e-04 
2.47500 	 7.286e-05 	 1.406e-04 	 3.819e-04 
2.50500 	 6.629e-05 	 1.663e-04 	 5.318e-04 
2.53500 	 6.215e-05 	 1.622e-04 	 4.888e-04 
2.56500 	 5.485e-05 	 1.337e-04 	 4.693e-04 
2.59500 	 4.852e-05 	 9.955e-05 	 5.226e-04 
2.62500 	 4.183e-05 	 8.494e-05 	 3.746e-04 
2.65500 	 3.301e-05 	 7.383e-05 	 2.392e-04 
2.68500 	 3.169e-05 	 6.274e-05 	 2.538e-04 
2.71500 	 2.668e-05 	 5.127e-05 	 1.565e-04 
2.74500 	 2.231e-05 	 3.930e-05 	 2.617e-04 
2.77500 	 1.905e-05 	 3.304e-05 	 2.213e-04 
2.80500 	 1.416e-05 	 3.343e-05 	 2.140e-04 
2.83500 	 1.406e-05 	 3.488e-05 	 2.732e-04 
2.86500 	 1.455e-05 	 2.140e-05 	 3.492e-04 
2.89500 	 1.340e-05 	 1.009e-05 	 2.364e-04 
2.92500 	 9.018e-06 	 1.322e-05 	 2.252e-04 
2.95500 	 8.318e-06 	 9.653e-06 	 1.394e-04 
2.98500 	 8.151e-06 	 7.664e-06 	 1.621e-04 
3.01500 	 7.154e-05 	 1.132e-04 	 1.315e-03 
