10000.000000	number of photons
0.03000	bin size [cm]
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.01500 	 3.597e+02 	 1.640e+01 	 3.342e+00 
0.04500 	 4.065e+01 	 5.036e+00 	 1.914e+00 
0.07500 	 1.457e+01 	 2.729e+00 	 1.353e+00 
0.10500 	 7.201e+00 	 1.713e+00 	 1.021e+00 
0.13500 	 4.027e+00 	 1.144e+00 	 7.769e-01 
0.16500 	 2.482e+00 	 8.008e-01 	 6.038e-01 
0.19500 	 1.586e+00 	 5.717e-01 	 4.698e-01 
0.22500 	 1.070e+00 	 4.173e-01 	 3.553e-01 
0.25500 	 7.216e-01 	 2.992e-01 	 2.739e-01 
0.28500 	 5.023e-01 	 2.263e-01 	 2.216e-01 
0.31500 	 3.582e-01 	 1.689e-01 	 1.696e-01 
0.34500 	 2.576e-01 	 1.280e-01 	 1.345e-01 
0.37500 	 1.857e-01 	 9.387e-02 	 1.056e-01 
0.40500 	 1.330e-01 	 7.124e-02 	 8.044e-02 
0.43500 	 9.525e-02 	 5.292e-02 	 6.450e-02 
0.46500 	 7.028e-02 	 3.936e-02 	 4.974e-02 
0.49500 	 5.100e-02 	 3.063e-02 	 3.791e-02 
0.52500 	 3.757e-02 	 2.291e-02 	 3.003e-02 
0.55500 	 2.755e-02 	 1.782e-02 	 2.394e-02 
0.58500 	 2.051e-02 	 1.316e-02 	 1.802e-02 
0.61500 	 1.529e-02 	 1.014e-02 	 1.473e-02 
0.64500 	 1.152e-02 	 8.028e-03 	 1.098e-02 
0.67500 	 8.518e-03 	 5.942e-03 	 8.460e-03 
0.70500 	 6.251e-03 	 4.511e-03 	 6.797e-03 
0.73500 	 4.661e-03 	 3.569e-03 	 5.434e-03 
0.76500 	 3.483e-03 	 2.666e-03 	 4.330e-03 
0.79500 	 2.705e-03 	 2.065e-03 	 3.235e-03 
0.82500 	 2.035e-03 	 1.675e-03 	 2.506e-03 
0.85500 	 1.553e-03 	 1.222e-03 	 1.998e-03 
0.88500 	 1.192e-03 	 9.499e-04 	 1.654e-03 
0.91500 	 8.480e-04 	 6.746e-04 	 1.089e-03 
0.94500 	 6.391e-04 	 5.137e-04 	 1.011e-03 
0.97500 	 4.982e-04 	 3.995e-04 	 7.768e-04 
1.00500 	 3.595e-04 	 2.944e-04 	 6.150e-04 
1.03500 	 2.546e-04 	 2.084e-04 	 4.926e-04 
1.06500 	 2.016e-04 	 1.798e-04 	 2.820e-04 
1.09500 	 1.633e-04 	 1.301e-04 	 2.705e-04 
1.12500 	 1.164e-04 	 1.183e-04 	 2.530e-04 
1.15500 	 8.977e-05 	 7.919e-05 	 2.258e-04 
1.18500 	 7.456e-05 	 5.657e-05 	 1.219e-04 
1.21500 	 5.184e-05 	 4.619e-05 	 1.284e-04 
1.24500 	 4.364e-05 	 3.497e-05 	 7.113e-05 
1.27500 	 2.503e-05 	 1.858e-05 	 1.007e-04 
1.30500 	 2.457e-05 	 2.398e-05 	 1.178e-04 
1.33500 	 1.882e-05 	 1.617e-05 	 6.361e-05 
1.36500 	 1.216e-05 	 7.445e-06 	 6.391e-05 
1.39500 	 7.071e-06 	 4.569e-06 	 1.997e-05 
1.42500 	 5.567e-06 	 3.302e-06 	 3.451e-06 
1.45500 	 6.333e-06 	 4.547e-06 	 0.000e+00 
