10000.000000	number of photons
0.03000	bin size [cm]
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.01500 	 9.065e+02 	 6.465e+01 	 2.212e+01 
0.04500 	 2.284e+02 	 3.649e+01 	 1.773e+01 
0.07500 	 1.098e+02 	 2.406e+01 	 1.422e+01 
0.10500 	 6.307e+01 	 1.688e+01 	 1.131e+01 
0.13500 	 3.922e+01 	 1.212e+01 	 9.030e+00 
0.16500 	 2.580e+01 	 8.943e+00 	 7.225e+00 
0.19500 	 1.754e+01 	 6.656e+00 	 5.752e+00 
0.22500 	 1.209e+01 	 5.006e+00 	 4.641e+00 
0.25500 	 8.548e+00 	 3.806e+00 	 3.733e+00 
0.28500 	 6.101e+00 	 2.909e+00 	 3.036e+00 
0.31500 	 4.441e+00 	 2.242e+00 	 2.447e+00 
0.34500 	 3.299e+00 	 1.712e+00 	 1.947e+00 
0.37500 	 2.438e+00 	 1.317e+00 	 1.542e+00 
0.40500 	 1.798e+00 	 1.016e+00 	 1.250e+00 
0.43500 	 1.350e+00 	 7.952e-01 	 1.012e+00 
0.46500 	 1.015e+00 	 6.122e-01 	 8.012e-01 
0.49500 	 7.631e-01 	 4.716e-01 	 6.431e-01 
0.52500 	 5.668e-01 	 3.633e-01 	 5.202e-01 
0.55500 	 4.287e-01 	 2.860e-01 	 4.240e-01 
0.58500 	 3.281e-01 	 2.259e-01 	 3.398e-01 
0.61500 	 2.508e-01 	 1.792e-01 	 2.691e-01 
0.64500 	 1.931e-01 	 1.410e-01 	 2.140e-01 
0.67500 	 1.472e-01 	 1.093e-01 	 1.718e-01 
0.70500 	 1.147e-01 	 8.820e-02 	 1.399e-01 
0.73500 	 9.014e-02 	 6.915e-02 	 1.141e-01 
0.76500 	 6.876e-02 	 5.398e-02 	 9.358e-02 
0.79500 	 5.291e-02 	 4.380e-02 	 7.056e-02 
0.82500 	 4.039e-02 	 3.298e-02 	 5.763e-02 
0.85500 	 3.073e-02 	 2.597e-02 	 4.688e-02 
0.88500 	 2.412e-02 	 2.073e-02 	 3.837e-02 
0.91500 	 1.880e-02 	 1.595e-02 	 3.041e-02 
0.94500 	 1.492e-02 	 1.291e-02 	 2.486e-02 
0.97500 	 1.155e-02 	 9.792e-03 	 1.857e-02 
1.00500 	 8.787e-03 	 7.740e-03 	 1.430e-02 
1.03500 	 6.761e-03 	 6.003e-03 	 1.120e-02 
1.06500 	 5.288e-03 	 4.739e-03 	 9.266e-03 
1.09500 	 4.307e-03 	 3.739e-03 	 7.701e-03 
1.12500 	 3.247e-03 	 2.974e-03 	 6.346e-03 
1.15500 	 2.438e-03 	 2.399e-03 	 4.999e-03 
1.18500 	 1.820e-03 	 2.006e-03 	 3.759e-03 
1.21500 	 1.505e-03 	 1.594e-03 	 3.182e-03 
1.24500 	 1.215e-03 	 1.454e-03 	 2.376e-03 
1.27500 	 1.032e-03 	 1.197e-03 	 2.019e-03 
1.30500 	 7.894e-04 	 7.999e-04 	 1.410e-03 
1.33500 	 5.841e-04 	 6.309e-04 	 1.058e-03 
1.36500 	 4.743e-04 	 5.204e-04 	 1.255e-03 
1.39500 	 3.776e-04 	 3.707e-04 	 1.050e-03 
1.42500 	 2.704e-04 	 2.547e-04 	 7.867e-04 
1.45500 	 1.907e-04 	 1.881e-04 	 5.344e-04 
1.48500 	 1.463e-04 	 1.567e-04 	 4.800e-04 
1.51500 	 1.351e-04 	 1.305e-04 	 4.277e-04 
1.54500 	 1.193e-04 	 1.033e-04 	 4.516e-04 
1.57500 	 9.518e-05 	 7.460e-05 	 3.078e-04 
1.60500 	 8.067e-05 	 6.939e-05 	 2.554e-04 
1.63500 	 5.904e-05 	 4.893e-05 	 2.120e-04 
1.66500 	 4.371e-05 	 3.534e-05 	 1.683e-04 
1.69500 	 2.547e-05 	 2.251e-05 	 8.428e-05 
1.72500 	 1.657e-05 	 2.220e-05 	 1.453e-04 
1.75500 	 1.137e-05 	 1.270e-05 	 8.755e-05 
1.78500 	 7.614e-06 	 7.129e-06 	 3.114e-05 
1.81500 	 4.654e-06 	 3.956e-06 	 2.895e-05 
1.84500 	 3.292e-06 	 2.853e-06 	 2.984e-05 
1.87500 	 1.972e-06 	 3.352e-06 	 4.840e-05 
1.90500 	 3.551e-06 	 7.117e-06 	 5.269e-05 
1.93500 	 2.603e-06 	 4.565e-06 	 4.493e-05 
1.96500 	 2.540e-06 	 7.069e-06 	 2.958e-05 
1.99500 	 3.468e-06 	 8.714e-06 	 6.949e-06 
2.02500 	 2.771e-06 	 4.927e-06 	 1.384e-06 
2.05500 	 1.344e-06 	 7.223e-07 	 5.017e-07 
