10000.000000	number of photons
0.03000	bin size [cm]
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.01500 	 3.748e+02 	 2.022e+01 	 8.796e+00 
0.04500 	 4.984e+01 	 8.666e+00 	 7.382e+00 
0.07500 	 2.053e+01 	 5.929e+00 	 6.649e+00 
0.10500 	 1.219e+01 	 4.709e+00 	 6.099e+00 
0.13500 	 8.291e+00 	 3.883e+00 	 5.640e+00 
0.16500 	 6.215e+00 	 3.318e+00 	 5.252e+00 
0.19500 	 4.703e+00 	 2.861e+00 	 4.900e+00 
0.22500 	 3.804e+00 	 2.564e+00 	 4.505e+00 
0.25500 	 3.101e+00 	 2.270e+00 	 4.211e+00 
0.28500 	 2.625e+00 	 2.009e+00 	 3.886e+00 
0.31500 	 2.203e+00 	 1.805e+00 	 3.617e+00 
0.34500 	 1.867e+00 	 1.612e+00 	 3.371e+00 
0.37500 	 1.608e+00 	 1.459e+00 	 3.182e+00 
0.40500 	 1.381e+00 	 1.298e+00 	 2.939e+00 
0.43500 	 1.186e+00 	 1.167e+00 	 2.742e+00 
0.46500 	 1.032e+00 	 1.053e+00 	 2.546e+00 
0.49500 	 9.068e-01 	 9.585e-01 	 2.387e+00 
0.52500 	 7.919e-01 	 8.730e-01 	 2.223e+00 
0.55500 	 6.995e-01 	 7.912e-01 	 2.079e+00 
0.58500 	 6.239e-01 	 7.178e-01 	 1.918e+00 
0.61500 	 5.469e-01 	 6.552e-01 	 1.794e+00 
0.64500 	 4.837e-01 	 6.004e-01 	 1.695e+00 
0.67500 	 4.329e-01 	 5.484e-01 	 1.570e+00 
0.70500 	 3.855e-01 	 5.052e-01 	 1.479e+00 
0.73500 	 3.454e-01 	 4.559e-01 	 1.389e+00 
0.76500 	 3.116e-01 	 4.233e-01 	 1.291e+00 
0.79500 	 2.808e-01 	 3.875e-01 	 1.184e+00 
0.82500 	 2.486e-01 	 3.557e-01 	 1.099e+00 
0.85500 	 2.258e-01 	 3.249e-01 	 1.029e+00 
0.88500 	 2.000e-01 	 2.966e-01 	 9.562e-01 
0.91500 	 1.834e-01 	 2.716e-01 	 8.890e-01 
0.94500 	 1.643e-01 	 2.484e-01 	 8.396e-01 
0.97500 	 1.477e-01 	 2.283e-01 	 7.965e-01 
1.00500 	 1.336e-01 	 2.105e-01 	 7.400e-01 
1.03500 	 1.224e-01 	 1.942e-01 	 6.867e-01 
1.06500 	 1.112e-01 	 1.781e-01 	 6.275e-01 
1.09500 	 1.007e-01 	 1.642e-01 	 5.764e-01 
1.12500 	 9.115e-02 	 1.490e-01 	 5.481e-01 
1.15500 	 8.358e-02 	 1.382e-01 	 5.233e-01 
1.18500 	 7.465e-02 	 1.270e-01 	 4.825e-01 
1.21500 	 6.744e-02 	 1.167e-01 	 4.532e-01 
1.24500 	 6.131e-02 	 1.075e-01 	 4.201e-01 
1.27500 	 5.551e-02 	 9.946e-02 	 3.951e-01 
1.30500 	 5.102e-02 	 9.132e-02 	 3.688e-01 
1.33500 	 4.608e-02 	 8.408e-02 	 3.450e-01 
1.36500 	 4.213e-02 	 7.828e-02 	 3.239e-01 
1.39500 	 3.931e-02 	 7.211e-02 	 2.952e-01 
1.42500 	 3.577e-02 	 6.630e-02 	 2.753e-01 
1.45500 	 3.269e-02 	 6.094e-02 	 2.576e-01 
1.48500 	 2.985e-02 	 5.639e-02 	 2.388e-01 
1.51500 	 2.712e-02 	 5.171e-02 	 2.243e-01 
1.54500 	 2.502e-02 	 4.849e-02 	 2.086e-01 
1.57500 	 2.258e-02 	 4.456e-02 	 1.891e-01 
1.60500 	 2.082e-02 	 4.109e-02 	 1.736e-01 
1.63500 	 1.885e-02 	 3.822e-02 	 1.628e-01 
1.66500 	 1.719e-02 	 3.445e-02 	 1.501e-01 
1.69500 	 1.583e-02 	 3.231e-02 	 1.360e-01 
1.72500 	 1.445e-02 	 3.003e-02 	 1.270e-01 
1.75500 	 1.311e-02 	 2.745e-02 	 1.219e-01 
1.78500 	 1.226e-02 	 2.567e-02 	 1.128e-01 
1.81500 	 1.100e-02 	 2.368e-02 	 1.068e-01 
1.84500 	 1.015e-02 	 2.196e-02 	 9.897e-02 
1.87500 	 9.455e-03 	 2.031e-02 	 9.089e-02 
1.90500 	 8.677e-03 	 1.852e-02 	 8.633e-02 
1.93500 	 7.751e-03 	 1.706e-02 	 8.251e-02 
1.96500 	 7.053e-03 	 1.606e-02 	 7.852e-02 
1.99500 	 6.573e-03 	 1.528e-02 	 7.167e-02 
2.02500 	 5.992e-03 	 1.413e-02 	 6.772e-02 
2.05500 	 5.420e-03 	 1.299e-02 	 6.119e-02 
2.08500 	 5.084e-03 	 1.185e-02 	 5.680e-02 
2.11500 	 4.677e-03 	 1.110e-02 	 5.284e-02 
2.14500 	 4.203e-03 	 9.901e-03 	 5.057e-02 
2.17500 	 3.907e-03 	 9.169e-03 	 4.702e-02 
2.20500 	 3.620e-03 	 8.729e-03 	 4.403e-02 
2.23500 	 3.362e-03 	 8.033e-03 	 3.941e-02 
2.26500 	 3.072e-03 	 7.248e-03 	 3.611e-02 
2.29500 	 2.829e-03 	 6.579e-03 	 3.542e-02 
2.32500 	 2.558e-03 	 6.297e-03 	 3.243e-02 
2.35500 	 2.364e-03 	 5.628e-03 	 2.978e-02 
2.38500 	 2.167e-03 	 5.344e-03 	 2.723e-02 
2.41500 	 1.970e-03 	 4.871e-03 	 2.535e-02 
2.44500 	 1.818e-03 	 4.551e-03 	 2.446e-02 
2.47500 	 1.667e-03 	 4.258e-03 	 2.161e-02 
2.50500 	 1.530e-03 	 4.020e-03 	 1.964e-02 
2.53500 	 1.404e-03 	 3.663e-03 	 1.866e-02 
2.56500 	 1.316e-03 	 3.466e-03 	 1.832e-02 
2.59500 	 1.202e-03 	 3.240e-03 	 1.741e-02 
2.62500 	 1.106e-03 	 2.806e-03 	 1.709e-02 
2.65500 	 1.024e-03 	 2.658e-03 	 1.534e-02 
2.68500 	 9.521e-04 	 2.491e-03 	 1.403e-02 
2.71500 	 8.670e-04 	 2.407e-03 	 1.336e-02 
2.74500 	 8.162e-04 	 2.314e-03 	 1.267e-02 
2.77500 	 7.596e-04 	 2.074e-03 	 1.168e-02 
2.80500 	 6.937e-04 	 1.898e-03 	 1.120e-02 
2.83500 	 6.593e-04 	 1.776e-03 	 1.008e-02 
2.86500 	 6.072e-04 	 1.730e-03 	 9.332e-03 
2.89500 	 5.617e-04 	 1.536e-03 	 8.842e-03 
2.92500 	 5.033e-04 	 1.497e-03 	 8.594e-03 
2.95500 	 4.747e-04 	 1.379e-03 	 7.674e-03 
2.98500 	 4.384e-04 	 1.312e-03 	 7.027e-03 
3.01500 	 6.955e-03 	 1.814e-02 	 9.830e-02 
