10000.000000	number of photons
0.03000	bin size [cm]
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.01500 	 4.428e+02 	 2.186e+01 	 4.497e+00 
0.04500 	 6.474e+01 	 8.005e+00 	 2.652e+00 
0.07500 	 2.508e+01 	 4.271e+00 	 1.738e+00 
0.10500 	 1.182e+01 	 2.437e+00 	 1.165e+00 
0.13500 	 6.110e+00 	 1.440e+00 	 7.723e-01 
0.16500 	 3.367e+00 	 8.849e-01 	 5.173e-01 
0.19500 	 1.878e+00 	 5.444e-01 	 3.403e-01 
0.22500 	 1.084e+00 	 3.348e-01 	 2.247e-01 
0.25500 	 6.257e-01 	 2.092e-01 	 1.454e-01 
0.28500 	 3.737e-01 	 1.330e-01 	 9.735e-02 
0.31500 	 2.269e-01 	 8.608e-02 	 6.499e-02 
0.34500 	 1.393e-01 	 5.456e-02 	 4.300e-02 
0.37500 	 8.562e-02 	 3.459e-02 	 2.805e-02 
0.40500 	 5.115e-02 	 2.185e-02 	 1.844e-02 
0.43500 	 3.115e-02 	 1.365e-02 	 1.299e-02 
0.46500 	 1.936e-02 	 9.224e-03 	 8.177e-03 
0.49500 	 1.255e-02 	 5.750e-03 	 5.711e-03 
0.52500 	 7.677e-03 	 3.697e-03 	 3.260e-03 
0.55500 	 4.721e-03 	 2.402e-03 	 2.193e-03 
0.58500 	 3.060e-03 	 1.597e-03 	 1.569e-03 
0.61500 	 2.000e-03 	 1.037e-03 	 8.452e-04 
0.64500 	 1.227e-03 	 6.563e-04 	 5.286e-04 
0.67500 	 7.661e-04 	 4.424e-04 	 3.895e-04 
0.70500 	 4.876e-04 	 2.755e-04 	 2.321e-04 
0.73500 	 3.240e-04 	 1.468e-04 	 6.105e-05 
0.76500 	 1.714e-04 	 8.378e-05 	 5.269e-05 
0.79500 	 1.012e-04 	 5.855e-05 	 7.913e-05 
0.82500 	 5.512e-05 	 2.481e-05 	 9.592e-05 
0.85500 	 3.731e-05 	 1.519e-05 	 1.187e-04 
0.88500 	 2.254e-05 	 1.517e-05 	 8.156e-05 
0.91500 	 1.297e-05 	 8.590e-06 	 5.786e-05 
0.94500 	 1.304e-05 	 3.943e-06 	 5.974e-05 
0.97500 	 9.932e-06 	 5.937e-07 	 1.038e-05 
1.00500 	 6.994e-06 	 2.166e-07 	 2.799e-07 
1.03500 	 3.358e-06 	 6.547e-08 	 0.000e+00 
1.06500 	 2.087e-06 	 0.000e+00 	 0.000e+00 
1.09500 	 1.922e-06 	 0.000e+00 	 0.000e+00 
1.12500 	 1.431e-06 	 0.000e+00 	 0.000e+00 
1.15500 	 6.686e-07 	 0.000e+00 	 0.000e+00 
1.18500 	 1.612e-07 	 0.000e+00 	 0.000e+00 
1.21500 	 8.264e-08 	 0.000e+00 	 0.000e+00 
1.24500 	 2.907e-08 	 0.000e+00 	 0.000e+00 
1.27500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.30500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.33500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.36500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.39500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.42500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.45500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.48500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.51500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.54500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.57500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.60500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.63500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.66500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.69500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.72500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.75500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.78500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.81500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.84500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.87500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.90500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.93500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.96500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.99500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
2.02500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
2.05500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
2.08500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
2.11500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
2.14500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
2.17500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
2.20500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
2.23500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
2.26500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
2.29500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
